,Country_name,League_name,season,number_of_stages,teams,AVG(home_team_goal),AVG(away_team_goal),average_goal_difference,average_goals,total_goals
0,England,England Premier League,2008/2009,38,20,1.4,1.0789473684210527,0.32105263157894737,2.4789473684210526,942
1,England,England Premier League,2009/2010,38,20,1.6973684210526316,1.0736842105263158,0.6236842105263158,2.7710526315789474,1053
2,England,England Premier League,2010/2011,38,20,1.6236842105263158,1.1736842105263159,0.45,2.7973684210526315,1063
3,England,England Premier League,2011/2012,38,20,1.5894736842105264,1.2157894736842105,0.3736842105263158,2.805263157894737,1066
4,England,England Premier League,2012/2013,38,20,1.5578947368421052,1.2394736842105263,0.31842105263157894,2.7973684210526315,1063
5,England,England Premier League,2013/2014,38,20,1.5736842105263158,1.194736842105263,0.37894736842105264,2.768421052631579,1052
6,England,England Premier League,2014/2015,38,20,1.4736842105263157,1.0921052631578947,0.3815789473684211,2.5657894736842106,975
7,England,England Premier League,2015/2016,38,20,1.4921052631578948,1.2078947368421054,0.28421052631578947,2.7,1026
8,France,France Ligue 1,2008/2009,38,20,1.2868421052631578,0.9710526315789474,0.3157894736842105,2.2578947368421054,858
9,France,France Ligue 1,2009/2010,38,20,1.3894736842105264,1.0210526315789474,0.3684210526315789,2.4105263157894736,916
10,France,France Ligue 1,2010/2011,38,20,1.3421052631578947,1.0,0.34210526315789475,2.3421052631578947,890
11,France,France Ligue 1,2011/2012,38,20,1.4736842105263157,1.0421052631578946,0.43157894736842106,2.5157894736842104,956
12,France,France Ligue 1,2012/2013,38,20,1.4684210526315788,1.0763157894736841,0.39210526315789473,2.544736842105263,967
13,France,France Ligue 1,2013/2014,38,20,1.4157894736842105,1.0394736842105263,0.3763157894736842,2.455263157894737,933
14,France,France Ligue 1,2014/2015,38,20,1.4105263157894736,1.081578947368421,0.32894736842105265,2.4921052631578946,947
15,France,France Ligue 1,2015/2016,38,20,1.436842105263158,1.0894736842105264,0.3473684210526316,2.526315789473684,960
16,Germany,Germany 1. Bundesliga,2008/2009,34,18,1.6993464052287581,1.2222222222222223,0.477124183006536,2.9215686274509802,894
17,Germany,Germany 1. Bundesliga,2009/2010,34,18,1.5130718954248366,1.3169934640522876,0.19607843137254902,2.8300653594771243,866
18,Germany,Germany 1. Bundesliga,2010/2011,34,18,1.6470588235294117,1.2745098039215685,0.37254901960784315,2.9215686274509802,894
19,Germany,Germany 1. Bundesliga,2011/2012,34,18,1.6601307189542485,1.1993464052287581,0.46078431372549017,2.8594771241830066,875
20,Germany,Germany 1. Bundesliga,2012/2013,34,18,1.591503267973856,1.3431372549019607,0.24836601307189543,2.934640522875817,898
21,Germany,Germany 1. Bundesliga,2013/2014,34,18,1.7483660130718954,1.411764705882353,0.3366013071895425,3.1601307189542482,967
22,Germany,Germany 1. Bundesliga,2014/2015,34,18,1.588235294117647,1.1666666666666667,0.4215686274509804,2.7549019607843137,843
23,Germany,Germany 1. Bundesliga,2015/2016,34,18,1.565359477124183,1.2647058823529411,0.3006535947712418,2.8300653594771243,866
24,Italy,Italy Serie A,2008/2009,38,20,1.5210526315789474,1.0789473684210527,0.4421052631578947,2.6,988
25,Italy,Italy Serie A,2009/2010,38,20,1.5421052631578946,1.068421052631579,0.47368421052631576,2.610526315789474,992
26,Italy,Italy Serie A,2010/2011,38,20,1.431578947368421,1.081578947368421,0.35,2.513157894736842,955
27,Italy,Italy Serie A,2011/2012,38,20,1.511173184357542,1.0726256983240223,0.43854748603351956,2.583798882681564,925
28,Italy,Italy Serie A,2012/2013,38,20,1.4947368421052631,1.144736842105263,0.35,2.639473684210526,1003
29,Italy,Italy Serie A,2013/2014,38,20,1.5368421052631578,1.186842105263158,0.35,2.723684210526316,1035
30,Italy,Italy Serie A,2014/2015,38,20,1.4986807387862797,1.187335092348285,0.3113456464379947,2.6860158311345645,1018
31,Italy,Italy Serie A,2015/2016,38,20,1.4710526315789474,1.105263157894737,0.36578947368421055,2.5763157894736843,979
32,Spain,Spain LIGA BBVA,2008/2009,38,20,1.6605263157894736,1.236842105263158,0.4236842105263158,2.8973684210526316,1101
33,Spain,Spain LIGA BBVA,2009/2010,38,20,1.6,1.1131578947368421,0.4868421052631579,2.713157894736842,1031
34,Spain,Spain LIGA BBVA,2010/2011,38,20,1.6368421052631579,1.105263157894737,0.531578947368421,2.7421052631578946,1042
35,Spain,Spain LIGA BBVA,2011/2012,38,20,1.6789473684210525,1.0842105263157895,0.5947368421052631,2.763157894736842,1050
36,Spain,Spain LIGA BBVA,2012/2013,38,20,1.686842105263158,1.1842105263157894,0.5026315789473684,2.8710526315789475,1091
37,Spain,Spain LIGA BBVA,2013/2014,38,20,1.631578947368421,1.118421052631579,0.5131578947368421,2.75,1045
38,Spain,Spain LIGA BBVA,2014/2015,38,20,1.5368421052631578,1.118421052631579,0.41842105263157897,2.655263157894737,1009
39,Spain,Spain LIGA BBVA,2015/2016,38,20,1.618421052631579,1.1263157894736842,0.4921052631578947,2.7447368421052634,1043
